calories,carbs,category,fat,nutrition,protein,rating,reviewCount,source,title,url
351,52,Dinner,3,"{'@type': 'NutritionInformation', 'calories': ' 351 calories', 'fatContent': '3g fat (1g saturated fat)', 'cholesterolContent': '63mg cholesterol', 'sodiumContent': '699mg sodium', 'carbohydrateContent': '52g carbohydrate (15g sugars', 'fiberContent': '7g fiber)', 'proteinContent': '30g protein. '}",30,5,2,taste_of_home,Harvesttime Chicken with Couscous,https://www.tasteofhome.com/recipes/harvesttime-chicken-with-couscous/
192,0,Dinner,4,"{'@type': 'NutritionInformation', 'calories': ' 192 calories', 'fatContent': '4g fat (1g saturated fat)', 'cholesterolContent': '94mg cholesterol', 'sodiumContent': '141mg sodium', 'carbohydrateContent': '0 carbohydrate (0 sugars', 'fiberContent': '0 fiber)', 'proteinContent': '34g protein. <B><b>Diabetic Exchanges</b>: </B> 5 lean meat.'}",34,5,2,taste_of_home,Poached Chicken,https://www.tasteofhome.com/recipes/poached-chicken/
143,4,"Dinner,Lunch",3,"{'@type': 'NutritionInformation', 'calories': ' 143 calories', 'fatContent': '3g fat (1g saturated fat)', 'cholesterolContent': '63mg cholesterol', 'sodiumContent': '516mg sodium', 'carbohydrateContent': '4g carbohydrate (1g sugars', 'fiberContent': '2g fiber)', 'proteinContent': '24g protein. <b>Diabetic Exchanges</b>: 3 lean meat'}",24,4.875,16,taste_of_home,Slow-Cooker Chicken Taco Salad,https://www.tasteofhome.com/recipes/slow-cooker-chicken-taco-salad/
246,15,Dinner,4,"{'@type': 'NutritionInformation', 'calories': ' 246 calories', 'fatContent': '4g fat (1g saturated fat)', 'cholesterolContent': '94mg cholesterol', 'sodiumContent': '315mg sodium', 'carbohydrateContent': '15g carbohydrate (11g sugars', 'fiberContent': '1g fiber)', 'proteinContent': '35g protein. <B><b>Diabetic Exchanges</b>: </B> 5 lean meat'}",35,5,1,taste_of_home,Pressure-Cooker Orange Chipotle Chicken,https://www.tasteofhome.com/recipes/pressure-cooker-orange-chipotle-chicken/
231,1,Dinner,9,"{'@type': 'NutritionInformation', 'calories': ' 231 calories', 'fatContent': '9g fat (2g saturated fat)', 'cholesterolContent': '94mg cholesterol', 'sodiumContent': '156mg sodium', 'carbohydrateContent': '1g carbohydrate (0 sugars', 'fiberContent': '0 fiber)', 'proteinContent': '34g protein.  <B><b>Diabetic Exchanges</b>: </B>5 lean meat'}",34,5,2,taste_of_home,Grilled Basil Chicken,https://www.tasteofhome.com/recipes/grilled-basil-chicken/
273,10,Dinner,8,"{'@type': 'NutritionInformation', 'calories': ' 273 calories', 'fatContent': '8g fat (2g saturated fat)', 'cholesterolContent': '98mg cholesterol', 'sodiumContent': '606mg sodium', 'carbohydrateContent': '10g carbohydrate (4g sugars', 'fiberContent': '3g fiber)', 'proteinContent': '38g protein.  <B><b>Diabetic Exchanges</b>: </B>5 lean meat'}",38,5,3,taste_of_home,Margherita Chicken,https://www.tasteofhome.com/recipes/margherita-chicken/
204,11,"Breakfast,Brunch,Snacks",17,"{'@type': 'NutritionInformation', 'calories': ' 204 calories', 'fatContent': '17g fat (6g saturated fat)', 'cholesterolContent': '0 cholesterol', 'sodiumContent': '19mg sodium', 'carbohydrateContent': '11g carbohydrate (8g sugars', 'fiberContent': '2g fiber)', 'proteinContent': '3g protein. '}",3,5,1,taste_of_home,Grain-Free Apple Pie Granola,https://www.tasteofhome.com/recipes/grain-free-apple-pie-granola/
61,4,Appetizers,4,"{'@type': 'NutritionInformation', 'calories': ' 61 calories', 'fatContent': '4g fat (2g saturated fat)', 'cholesterolContent': '23mg cholesterol', 'sodiumContent': '143mg sodium', 'carbohydrateContent': '4g carbohydrate (1g sugars', 'fiberContent': '0 fiber)', 'proteinContent': '3g protein. '}",3,4.928571,14,taste_of_home,Shrimp Tartlets,https://www.tasteofhome.com/recipes/shrimp-tartlets/
394,31,Dinner,15,"{'@type': 'NutritionInformation', 'calories': ' 394 calories', 'fatContent': '15g fat (4g saturated fat)', 'cholesterolContent': '86mg cholesterol', 'sodiumContent': '808mg sodium', 'carbohydrateContent': '31g carbohydrate (29g sugars', 'fiberContent': '1g fiber)', 'proteinContent': '31g protein. '}",31,5,6,taste_of_home,Grilled Pineapple Pork Chops,https://www.tasteofhome.com/recipes/grilled-pineapple-pork-chops/
248,38,"Breakfast,Brunch,Desserts",9,"{'@type': 'NutritionInformation', 'calories': ' 248 calories', 'fatContent': '9g fat (4g saturated fat)', 'cholesterolContent': '31mg cholesterol', 'sodiumContent': '218mg sodium', 'carbohydrateContent': '38g carbohydrate (19g sugars', 'fiberContent': '1g fiber)', 'proteinContent': '4g protein. '}",4,4.9333334,15,taste_of_home,Apple Pull-Apart Bread,https://www.tasteofhome.com/recipes/apple-pull-apart-bread/
77,5,Side Dishes,6,"{'@type': 'NutritionInformation', 'calories': ' 77 calories', 'fatContent': '6g fat (1g saturated fat)', 'cholesterolContent': '0 cholesterol', 'sodiumContent': '164mg sodium', 'carbohydrateContent': '5g carbohydrate (3g sugars', 'fiberContent': '1g fiber)', 'proteinContent': '2g protein.  <B><b>Diabetic Exchanges</b>: </B>1 vegetable'}",2,5,3,taste_of_home,Fresh Asparagus with Pecans,https://www.tasteofhome.com/recipes/fresh-asparagus-with-pecans/
